ch_id	lat	lon	depth
636	40.82083144	14.15441809	0
637	40.82083895	14.15436095	0
638	40.82084556	14.15430359	0
639	40.82085217	14.15424635	0
640	40.82085877	14.15418899	0
641	40.82086547	14.15413163	0
642	40.82087207	14.15407428	0
643	40.82087868	14.15401704	0
644	40.82088529	14.15395968	0
645	40.82089198	14.15390232	0
646	40.82089859	14.15384496	0
647	40.82090519	14.15378772	0
648	40.82091180	14.15373036	0
649	40.82092455	14.15367553	0
650	40.82094390	14.15362346	0
651	40.82096315	14.15357128	0
652	40.82098250	14.15351921	0
653	40.82100184	14.15346703	0
654	40.82102110	14.15341496	0
655	40.82104045	14.15336290	0
656	40.82105979	14.15331071	0
657	40.82107905	14.15325865	0
658	40.82109839	14.15320646	0
659	40.82111765	14.15315428	0
660	40.82113690	14.15310221	0
661	40.82115607	14.15305003	0
662	40.82117532	14.15299785	0
663	40.82119458	14.15294566	0
664	40.82121383	14.15289348	0
665	40.82123309	14.15284141	0
666	40.82125235	14.15278923	0
667	40.82126600	14.15273451	0
668	40.82127477	14.15267771	0
669	40.82128354	14.15262092	0
670	40.82129231	14.15256413	0
671	40.82130099	14.15250722	0
672	40.82130976	14.15245042	0
673	40.82131853	14.15239363	0
674	40.82132730	14.15233672	0
675	40.82133608	14.15227992	0
676	40.82134485	14.15222313	0
677	40.82134244	14.15216553	0
678	40.82133769	14.15210796	0
679	40.82133295	14.15205027	0
680	40.82132820	14.15199258	0
681	40.82132345	14.15193501	0
682	40.82131879	14.15187732	0
683	40.82131405	14.15181963	0
684	40.82130930	14.15176206	0
685	40.82130455	14.15170437	0
686	40.82129980	14.15164668	0
687	40.82129514	14.15158911	0
688	40.82129040	14.15153142	0
689	40.82128673	14.15147360	0
690	40.82128351	14.15141577	0
691	40.82128029	14.15135794	0
692	40.82127716	14.15130011	0
693	40.82127395	14.15124229	0
694	40.82127073	14.15118446	0
695	40.82126760	14.15112663	0
696	40.82126438	14.15106880	0
697	40.82126206	14.15101085	0
698	40.82126029	14.15095300	0
699	40.82125851	14.15089504	0
700	40.82125673	14.15083707	0
701	40.82125495	14.15077911	0
702	40.82125318	14.15072115	0
703	40.82125140	14.15066330	0
704	40.82124971	14.15060534	0
705	40.82125334	14.15054766	0
706	40.82125823	14.15048997	0
707	40.82126312	14.15043239	0
708	40.82126801	14.15037470	0
