channel_id	cluster_id	classification
1798	9	cluster
1799	9	cluster
1800	9	cluster
1801	9	cluster
1802	9	cluster
1803	9	cluster
1804	9	cluster
1805	9	cluster
1806	9	cluster
1807	9	cluster
1808	9	cluster
1809	9	cluster
1810	9	cluster
1811	9	cluster
1812	9	cluster
1813	9	cluster
1814	9	cluster
1815	9	cluster
1816	9	cluster
1817	9	cluster
1818	9	cluster
1819	9	cluster
1820	9	cluster
1821	9	cluster
1822	9	cluster
1823	9	cluster
1824	9	cluster
1830	9	cluster
1831	9	cluster
1832	9	cluster
1833	9	cluster
1834	9	cluster
1835	9	cluster
1836	9	cluster
1837	9	cluster
1838	9	cluster
1839	9	cluster
1840	9	cluster
1841	9	cluster
1842	9	cluster
1843	9	cluster
1844	9	cluster
1845	9	cluster
1846	9	cluster
1847	9	cluster
1848	9	cluster
1849	9	cluster
1850	9	cluster
1851	9	cluster
1852	9	cluster
1853	9	cluster
1854	9	cluster
1855	9	cluster
1856	9	cluster
1857	9	cluster
1858	9	cluster
1859	-1	noise
1860	-1	noise
1861	-1	noise
1862	-1	noise
1863	-1	noise
1864	-1	noise
1865	-1	noise
1866	-1	noise
1867	-1	noise
1868	-1	noise
